title,text
Definitions of Key Terms in Contract Conditions,"In the Conditions of Contract (“these Conditions”), which include Particular
Conditions, Parts A and B, and these General Conditions, the following words andexpressions shall have the meanings stated. Words indicating persons or partiesinclude corporations and other legal entities, except where the context requiresotherwise.
## 1 1.1.1 “ Contract ” means the Contract Agreement, the Letter of Acceptance, the
Letter of Tender, these Conditions, the Specification, the Drawings, theSchedules, and the further documents (if any) which are listed in theContract Agreement or in the Letter of Acceptance.
## 1 1.1.2 “ Contract Agreement ” means the contract agreement (if any) referred to in
Sub-Clause 1.6 [ Contract Agreement ].
## 1 1.1.3 “ Letter of Acceptance ” means the letter of formal acceptance, signed by
the Employer, of the Letter of Tender, including any annexed memorandacomprising agreements between and signed by both Parties. If there is nosuch letter of acceptance, the expression “Letter of Acceptance” means theContract Agreement and the date of issuing or receiving the Letter ofAcceptance means the date of signing the Contract Agreement.
## 1 1.1.4 “ Letter of Tender ” means the document entitled letter of tender or letter of
bid, which was completed by the Contractor and includes the signed offerto the Employer for the Works.
## 1 1.1.5 “ Specification ” means the document entitled specification, as included in
the Contract, and any additions and modifications to the specification inaccordance with the Contract. Such document specifies the Works.
## 1 1.1.6 “ Drawings ” means the drawings of the Works, as included in the Contract,
and any additional and modified drawings issued by (or on behalf of) theEmployer in accordance with the Contract.
## 1 1.1.7 “ Schedules ” means the document(s) entitled schedules, completed by the
Contractor and submitted with the Letter of Tender, as included in theContract. Such document may include the Bill of Quantities, data, lists, andschedules of rates and/or prices.
## 1 1.1.8 “ Tender ” means the Letter of Tender and all other documents which the
Contractor submitted with the Letter of Tender, as included in the Contract.
## 1 1.1.9 “ Bill of Quantities ” and “ Daywork Schedule ” and “ Schedule of Payment
Currencies ” mean the documents so named (if any) which are comprised
in the Schedules.
## 1 1.1.10 “ Contract Data ” means the pages completed by the"
Definitions and Roles in Construction Contract,"� and “ Schedule of Payment
Currencies ” mean the documents so named (if any) which are comprised
in the Schedules.
## 1 1.1.10 “ Contract Data ” means the pages completed by the Employer entitled
contract data which constitute Part A of the Particular Conditions.1.1
Definitions
## 1 1.1
The Contract
## 1 General ProvisionsGeneral Conditions
## 2 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
## 1 1.2.1 “ Party ” means the Employer or the Contractor, as the context requires.
## 1 1.2.2 “ Employer ” means the person named as employer in the Contract Data
and the legal successors in title to this person.
## 1 1.2.3 “ Contractor ” means the person(s) named as contractor in the Letter of
Tender accepted by the Employer and the legal successors in title to thisperson(s).
## 1 1.2.4 “ Enginee r” means the person appointed by the Employer to act as the
Engineer for the purposes of the Contract and named in the Contract Data,or other person appointed from time to time by the Employer and notified tothe Contractor under Sub-Clause 3.4 [ Replacement of the Engineer ].
## 1 1.2.5 “ Contractor’s Representative ” means the person named by the
Contractor in the Contract or appointed from time to time by the Contractorunder Sub-Clause 4.3 [ Contractor’s Representative ], who acts on behalf of
the Contractor.
## 1 1.2.6 “ Employer’s Personnel ” means the Engineer, the assistants referred to in
Sub-Clause 3.2 [ Delegation by the Engineer ] and all other staff, labour and
other employees of the Engineer and of the Employer; and any otherpersonnel notified to the Contractor, by the Employer or the Engineer, asEmployer’s Personnel.
## 1 1.2.7 “ Contractor’s Personnel ” means the Contractor’s Representative and all
personnel whom the Contractor utilises on Site, who may include the staff,labour and other employees of the Contractor and of each Subcontractor; andany other personnel assisting the Contractor in the execution of the Works.
## 1 1.2.8 “ Subcontractor ” means any person named in the Contract as a
subcontractor, or any person appointed as a subcontractor, for a part of theWorks; and the legal successors in title to each of these persons.
## 1 1.2.9 “ DB” means the person"
Key Definitions and Terms in Construction Contracts," a
subcontractor, or any person appointed as a subcontractor, for a part of theWorks; and the legal successors in title to each of these persons.
## 1 1.2.9 “ DB” means the person or three persons appointed under Sub-Clause 20.2
[Appointment of the Dispute Board ] or Sub-Clause 20.3 [ Failure to Agree
on the Composition of the Dispute Board ].
## 1 1.2.10 “ FIDIC ” means the Fédération Internationale des Ingénieurs-Conseils, the
international federation of consulting engineers.
## 1 1.2.11 “ Bank ” means the financing institution (if any) named in the Contract Data.
## 1 1.2.12 “ Borrower ” means the person (if any) named as the borrower in the
Contract Data.
## 1 1.3.1 “ Base Date ” means the date 28 days prior to the latest date for submission
and Completion of the Tender.
## 1 1.3.2 “ Commencement Date ” means the date notified under Sub-Clause 8.1
[Commencement of Works ].
## 1 1.3.3 “ Time for Completion ” means the time for completing the Works or a Section
(as the case may be) under Sub-Clause 8.2 [ Time for Completion ], as stated
in the Contract Data (with any extension under Sub-Clause 8.4 [ Extension of
Time for Completion ]), calculated from the Commencement Date.1.1.2
Parties and Persons
## 1 1.3
Dates, Tests, Periodsand Completion
## 1 1.3.4 “ Tests on Completion ” means the tests which are specified in the Contract
or agreed by both Parties or instructed as a Variation, and which are carriedout under Clause 9 [ Tests on Completion ] before the Works or a Section (as
the case may be) are taken over by the Employer.
## 1 1.3.5 “ Taking-Over Certificate ” means a certificate issued under Clause 10
[Employer’s Taking Ove r].
## 1 1.3.6 “ Tests after Completion ” means the tests (if any) which are specified in the
Contract and which are carried out in accordance with the Specificationafter the Works or a Section (as the case may be) are taken over by theEmployer.
## 1 1.3.7 “ Defects Notification Period” means the period for notifying defects in the
Works or a Section (as the case may be) under Sub-Clause 11.1[Completion of"
Key Definitions in Construction Contract Terms,"
## 1 1.3.7 “ Defects Notification Period” means the period for notifying defects in the
Works or a Section (as the case may be) under Sub-Clause 11.1[Completion of Outstanding Work and Remedying Defects ], as stated in the
Contract Data (with any extension under Sub-Clause 11.3 [ Extension of
Defects Notification Period ]), calculated from the date on which the Works
or Section is completed as certified under Sub-Clause 10.1 [ Taking Over of
the Works and Sections ].
## 1 1.3.8 “ Performance Certificate ” means the certificate issued under Sub-Clause
## 11 9 [ Performance Certificate ].
## 1 1.3.9 “ day” means a calendar day and “year” means 365 days.
## 1 1.4.1 “ Accepted Contract Amount ” means the amount accepted in the Letter of
Acceptance for the execution and completion of the Works and theremedying of any defects.
## 1 1.4.2 “ Contract Price ” means the price defined in Sub-Clause 14.1 [ The
Contract Price ], and includes adjustments in accordance with the Contract.
## 1 1.4.3 “ Cost ” means all expenditure reasonably incurred (or to be incurred) by the
Contractor, whether on or off the Site, including overhead and similarcharges, but does not include profit.
## 1 1.4.4 “ Final Payment Certificate ” means the payment certificate issued under
Sub-Clause 14.13 [ Issue of Final Payment Certificate ].
## 1 1.4.5 “ Final Statement ” means the statement defined in Sub-Clause 14.11
[Application for Final Payment Certificate ].
## 1 1.4.6 “ Foreign Currency ” means a currency in which part (or all) of the Contract
Price is payable, but not the Local Currency.
## 1 1.4.7 “ Interim Payment Certificate ” means a payment certificate issued under
Clause 14 [ Contract Price and Payment ], other than the Final Payment
Certificate.
## 1 1.4.8 “ Local Currency ” means the currency of the Country.
## 1 1.4.9 “ Payment Certificate ” means a payment certificate issued under Clause 14
[Contract Price and Payment ].
## 1 1.4.10 “ Provisional Sum ” means a sum (if any) which is specified in the Contract as1.1.4
Money and Payments
## 4 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
a provisional sum, for the execution of any part of the Works or for the supply
of Plant, Materials"
Definitions of Key Terms in Construction Contracts,"4
Money and Payments
## 4 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
a provisional sum, for the execution of any part of the Works or for the supply
of Plant, Materials or services under Sub-Clause 13.5 [ Provisional Sums ].
## 1 1.4.11 “ Retention Money ” means the accumulated retention moneys which the
Employer retains under Sub-Clause 14.3 [ Application for Interim Payment
Certificates ] and pays under Sub-Clause 14.9 [ Payment of Retention Money ].
## 1 1.4.12 “ Statement ” means a statement submitted by the Contractor as part of an
application, under Clause 14 [ Contract Price and Payment ], for a payment
certificate.
## 1 1.5.1 “ Contractor’s Equipment ” means all apparatus, machinery, vehicles and
other things required for the execution and completion of the Works and theremedying of any defects. However, Contractor’s Equipment excludesTemporary Works, Employer’s Equipment (if any), Plant, Materials and anyother things intended to form or forming part of the Permanent Works.
## 1 1.5.2 “ Goods ” means Contractor’s Equipment, Materials, Plant and Temporary
Works, or any of them as appropriate.
## 1 1.5.3 “ Materials ” means things of all kinds (other than Plant) intended to form or
forming part of the Permanent Works, including the supply-only materials (ifany) to be supplied by the Contractor under the Contract.
## 1 1.5.4 “ Permanent Works ” means the permanent works to be executed by the
Contractor under the Contract.
## 1 1.5.5 “ Plant ” means the apparatus, machinery and vehicles intended to form or
forming part of the Permanent Works.
## 1 1.5.6 “ Section ” means a part of the Works specified in the Contract Data as a
Section (if any).
## 1 1.5.7 “ Temporary Works ” means all temporary works of every kind (other than
Contractor’s Equipment) required on Site for the execution and completionof the Permanent Works and the remedying of any defects.
## 1 1.5.8 “ Works ” mean the Permanent Works and the Temporary Works, or either of
them as appropriate.
## 1 1.6.1 “ Contractor’s Documents ” means the calculations, computer programs
and other software, drawings, manuals, models and other documents of atechnical nature (if any) supplied by the Contractor under the Contract.
## 1 1.6.2 “ Country ” means the country"
Contract Definitions and Key Terms Overview,", computer programs
and other software, drawings, manuals, models and other documents of atechnical nature (if any) supplied by the Contractor under the Contract.
## 1 1.6.2 “ Country ” means the country in which the Site (or most of it) is located,
where the Permanent Works are to be executed.
## 1 1.6.3 “ Employer’s Equipment ” means the apparatus, machinery and vehicles (if
any) made available by the Employer for the use of the Contractor in theexecution of the Works, as stated in the Specification; but does not includePlant which has not been taken over by the Employer.
## 1 1.6.4 “ Force Majeure ” is defined in Clause 19 [ Force Majeure ].
## 1 1.6.5 “ Laws ” means all national (or state) legislation, statutes, ordinances and other
laws, and regulations and by-laws of any legally constituted public authority.1.1.5
Works and Goods
## 1 1.6
Other Definitions
## 1 1.6.6 “ Performance Security ” means the security (or securities, if any) under
Sub-Clause 4.2 [ Performance Security ].
## 1 1.6.7 “ Site” means the places where the Permanent Works are to be executed
and to which Plant and Materials are to be delivered, and any other placesas may be specified in the Contract as forming part of the Site.
## 1 1.6.8 “ Unforeseeable ” means not reasonably foreseeable and against which
adequate preventive precautions could not reasonably be taken by anexperienced contractor by the date for submission of the Tender.
## 1 1.6.9 “ Variation ” means any change to the Works, which is instructed or
approved as a variation under Clause 13 [ Variations and Adjustments ].
In the Contract, except where the context requires otherwise:
(a) words indicating one gender include all genders;
(b) words indicating the singular also include the plural and words indicating the
plural also include the singular;
(c) provisions including the word “agree”, “agreed” or “agreement” require the
agreement to be record in writing;
(d) “written” or “in writing” means hand-written, type-written, printed or
electronically made, and resulting in a permanent record; and
(e) the word “tender” is synonymous with “bid”, and “tenderer” with “bidder” and
the words “tender documents” with “bidding documents"".
The marginal words"
"""Understanding Tender and Contract Communication Conditions""","tender” is synonymous with “bid”, and “tenderer” with “bidder” and
the words “tender documents” with “bidding documents"".
The marginal words and other headings shall not be taken into consideration in the
interpretation of these Conditions.
In these Conditions, provisions including the expression “Cost plus profit” require this
profit to be one twentieth (5%) of this Cost unless otherwise indicated in the ContractData.
Wherever these Conditions provide for the giving or issuing of approvals, certificates,
consents, determinations, notices, requests and discharges, these communicationsshall be:
(a) in writing and delivered by hand (against receipt), sent by mail or courier, or
transmitted using any of the agreed systems of electronic transmission asstated in the Contract Data; and
(b) delivered, sent or transmitted to the address for the recipient’s communications
as stated in the Contract Data. However:
(i) if the recipient gives notice of another address, communications shall
thereafter be delivered accordingly; and
(ii) if the recipient has not stated otherwise when requesting an approval or
consent, it may be sent to the address from which the request wasissued.
Approvals, certificates, consents and determinations shall not be unreasonably
withheld or delayed. When a certificate is issued to a Party, the certifier shall send acopy to the other Party. When a notice is issued to a Party, by the other Party or theEngineer, a copy shall be sent to the Engineer or the other Party, as the case maybe.1.2
Interpretation
## 1 3Communications
## 6 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
The Contract shall be governed by the law of the country or other jurisdiction stated
in the Contract Data. 
The ruling language of the Contract shall be that stated in the Contract Data.The language for communications shall be that stated in the Contract Data. If no
language is stated there, the language for communications shall be the rulinglanguage of the Contract.
The documents forming the Contract are to be taken as mutually explanatory of one
another. For the purposes of interpretation, the priority of the documents shall be inaccordance with the following sequence:
(a) the Contract Agreement (if any),
(b) the Letter of Acceptance,(c) the Letter of Tender,(d) the Particular Conditions - Part A,(e) the Particular Conditions - Part B,(f) these General Conditions,(g) the Specification,(h) the Drawings, and(i) the Schedules and any other documents forming part of the Contract.
If an ambiguity or discrepancy is found in the documents, the"
Contract Agreement and Document Management Procedures,"f) these General Conditions,(g) the Specification,(h) the Drawings, and(i) the Schedules and any other documents forming part of the Contract.
If an ambiguity or discrepancy is found in the documents, the Engineer shall issue any
necessary clarification or instruction.
The Parties shall enter into a Contract Agreement within 28 days after the Contractor
receives the Letter of Acceptance, unless they agree otherwise. The ContractAgreement shall be based upon the form annexed to the Particular Conditions. Thecosts of stamp duties and similar charges (if any) imposed by law in connection withentry into the Contract Agreement shall be borne by the Employer.
Neither Party shall assign the whole or any part of the Contract or any benefit or
interest in or under the Contract. However, either Party:
(a) may assign the whole or any part with the prior agreement of the other Party,
at the sole discretion of such other Party, and
(b) may, as security in favour of a bank or financial institution, assign its right to any
moneys due, or to become due, under the Contract.
The Specification and Drawings shall be in the custody and care of the Employer.
Unless otherwise stated in the Contract, two copies of the Contract and of eachsubsequent Drawing shall be supplied to the Contractor, who may make or requestfurther copies at the cost of the Contractor.
Each of the Contractor’s Documents shall be in the custody and care of the
Contractor, unless and until taken over by the Employer. Unless otherwise stated inthe Contract, the Contractor shall supply to the Engineer six copies of each of theContractor’s Documents.
The Contractor shall keep, on the Site, a copy of the Contract, publications named in
the Specification, the Contractor’s Documents (if any), the Drawings and Variations1.4
Law and Language
## 1 5
Priority of Documents
## 1 6Contract Agreement
## 1 7Assignment
## 1 8Care and Supply of
Documents
and other communications given under the Contract. The Employer’s Personnel shall
have the right of access to all these documents at all reasonable times.
If a Party becomes aware of an error or defect in a document which was prepared for
use in executing the Works, the Party shall promptly give notice to the other Party ofsuch error or defect.
The Contractor shall give notice to the Engineer whenever the Works are likely to be
delayed or disrupted if any necessary drawing or instruction is not issued to theContractor within a particular time, which shall be reasonable. The notice shall includedetails of the necessary drawing or instruction, details of why and by when it shouldbe issued, and details of the nature and amount of the delay or disruption likely to besuffered"
Delayed Drawings and Contractor's Rights," a particular time, which shall be reasonable. The notice shall includedetails of the necessary drawing or instruction, details of why and by when it shouldbe issued, and details of the nature and amount of the delay or disruption likely to besuffered if it is late.
If the Contractor suffers delay and/or incurs Cost as a result of a failure of the Engineer to
issue the notified drawing or instruction within a time which is reasonable and is specifiedin the notice with supporting details, the Contractor shall give a further notice to theEngineer and shall be entitled subject to Sub-Clause 20.1 [ Contractor’s Claims ] to:
(a) an extension of time for any such delay, if completion is or will be delayed,
under Sub-Clause 8.4 [ Extension of Time for Completion ], and 
(b) payment of any such Cost plus profit, which shall be included in the Contract
Price.
After receiving this further notice, the Engineer shall proceed in accordance with Sub-
Clause 3.5 [ Determinations ] to agree or determine these matters.
However, if and to the extent that the Engineer’s failure was caused by any error or
delay by the Contractor, including an error in, or delay in the submission of, any of theContractor’s Documents, the Contractor shall not be entitled to such extension oftime, Cost or profit.
As between the Parties, the Contractor shall retain the copyright and other intellectual
property rights in the Contractor’s Documents and other design documents made by(or on behalf of) the Contractor.
The Contractor shall be deemed (by signing the Contract) to give to the Employer a
non-terminable transferable non-exclusive royalty-free licence to copy, use andcommunicate the Contractor’s Documents, including making and using modificationsof them. This licence shall:
(a) apply throughout the actual or intended working life (whichever is longer) of the
relevant parts of the Works,
(b) entitle any person in proper possession of the relevant part of the Works to
copy, use and communicate the Contractor’s Documents for the purposes ofcompleting, operating, maintaining, altering, adjusting, repairing anddemolishing the Works, and
(c) in the case of Contractor’s Documents which are in the form of computer
programs and other software, permit their use on any computer on the Site andother places as envisaged by the Contract, including replacements of anycomputers supplied by the Contractor.
The Contractor’s Documents and other design documents made by (or on behalf of)
the Contractor shall not, without the Contractor’s consent, be used, copied or1.9
Delayed Drawings or 
Instructions
"
Contractor and Employer Rights in Document Use and Confidentiality,"�s Documents and other design documents made by (or on behalf of)
the Contractor shall not, without the Contractor’s consent, be used, copied or1.9
Delayed Drawings or 
Instructions
## 1 10
Employer’s Use of
Contractor’s Documents
## 8 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
communicated to a third party by (or on behalf of) the Employer for purposes other
than those permitted under this Sub-Clause.
As between the Parties, the Employer shall retain the copyright and other intellectual
property rights in the Specification, the Drawings and other documents made by (oron behalf of) the Employer. The Contractor may, at his cost, copy, use, and obtaincommunication of these documents for the purposes of the Contract. They shall not,without the Employer’s consent, be copied, used or communicated to a third party bythe Contractor, except as necessary for the purposes of the Contract.
The Contractor shall disclose all such confidential and other information as the Engineer
may reasonably require in order to verify the Contractor’s compliance with the Contract.
The Contractor shall treat the details of the Contract as private and confidential,
except to the extent necessary to carry out the Contractor’s obligations under theContract or to comply with applicable Laws. The Contractor shall not publish ordisclose any particulars of the Works without the previous agreement of the Employer.However, the Contractor shall be permitted to disclose any publicly availableinformation, or information otherwise required to establish his qualifications tocompete for other projects.
The Contractor shall, in performing the Contract, comply with applicable Laws. Unless
otherwise stated in the Particular Conditions:
(a) the Employer shall have obtained (or shall obtain) the planning, zoning or similar
permission for the Permanent Works, and any other permissions described inthe Specification as having been (or being) obtained by the Employer; and theEmployer shall indemnify and hold the Contractor harmless against and fromthe consequences of any failure to do so; and
(b) the Contractor shall give all notices, pay all taxes, duties and fees, and obtain
all permits, licences and approvals, as required by the Laws in relation to theexecution and completion of the Works and the remedying of any defects; andthe Contractor shall indemnify and hold the Employer harmless against andfrom the consequences of any failure to do so.
If the Contractor constitutes (under applicable Laws) a joint venture, consortium or
other unincorporated grouping of two or more persons:
(a) these persons shall be deemed to be jointly and severally liable to the Employer
for the performance of the Contract;
(b)"
